																					
id	name	sumary	desciption	rating	reviewCount	popularity	tags	openTime	closeTime	priceVND	houseNumber	street	   ward	district	city	Tọa độ	URL	phone	Img name	Img url	dwell
1	Bún Thịt Nướng Kiều Bảo 	Thiên đường bún thịt nướng bình dân đông khách nhất Sài Gòn.	Kiều Bảo quán ăn với những người có niềm đam mê với món bún thịt nướng với chiếc chả giò siêu too.	4.2	515	100	Gia đình, Món sợi  	11:00	21:00	35000	339/12	Tô Hiến Thành 	phường 12	10	Hồ Chí Minh	10.776745298702297, 106.66541490929765	https://www.google.com/maps/place/B%C3%BAn+th%E1%BB%8Bt+n%C6%B0%E1%BB%9Bng+Ki%E1%BB%81u+B%E1%BA%A3o+CN+T%C3%B4+Hi%E1%BA%BFn+Th%C3%A0nh./@10.7764502,106.6628722,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x31752f96eb59614b:0xefeb5492120a03f2!2zQsO6biB0aOG7i3Qgbsaw4bubbmcgS2nhu4F1IELhuqNvIENOIFTDtCBIaeG6v24gVGjDoG5oLg!8m2!3d10.7764502!4d106.6654471!16s%2Fg%2F11pkbzwk12!3m5!1s0x31752f96eb59614b:0xefeb5492120a03f2!8m2!3d10.7764502!4d106.6654471!16s%2Fg%2F11pkbzwk12?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	0933849894	kieu_bao.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxJaZg73RxxtsCdYnshdgssSGfrlnkbEvESseeNBhc0D8Au6adpXNsAJNwGqmRwzQbB9A0FezcemmGKScOaSmjHg-eAqyEXKRvvNd17jrlD-lRrvaYnWMwTci7vjopnjJpACgW3-sud0YBs=w408-h544-k-no	20
2	Bistro Kingdom	Không gian bia tươi và ẩm thực Âu - Á sôi động.	Với không gian như Đà Lạt thu nhỏ giữa lòng Sài Gòn, các món ăn đa dạng từ Bắc Trung Nam nơi mà bạn nên đến để trải nghiệm ẩm thực phong phú của mọi miền đất nước 	4.7	1845	100	Gia đình, Bạn bè, Hải sản, Cơm 	6:30	22:00	120000	334	Tô Hiến Thành	phường  Diên Hồng 	10	Hồ Chí Minh	10.776037204705226, 106.66292946881703	https://www.google.com/maps/place/Cafe+Bistro+Kingdom/@10.7759002,106.6602902,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f004ddb9487:0xd3b67242d8a63227!8m2!3d10.7759002!4d106.6628651!16s%2Fg%2F11vkbdhf2n?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	0916043564	bistrokingdom.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXA-MHXCYcMp-u9jFX2YXhJfwBU0z6_-Ace3f7gA1uYj_LuVNT15I2p4CHcpGxqcpXDs7kwb6J5iJEOccZdNZsqUh1OrLlifYzXKpK9XnNp-L8ULome_XgghZlWlCDQaN1Lw1I2Q=w408-h306-k-no	30
3	Cơm Tấm Ba Ghiền 	Huyền thoại cơm tấm sườn bì chả khổng lồ nức tiếng.	Với món cơm tấm đặt trưng của Sài Gòn mang hương vị nhộn nhịp, năng động của một thành phố tràn đầy năng lượng thu hút thực khách từ nhiều nơi đến trải nghiệm 	4.3	748	70	Gia đình, Bạn bè, Hải sản, Cơm 	7:30	20:30	150000	84	Đặng Văn Ngữ 	phường 10	Phú Nhuận 	Hồ Chí Minh	10.794642430167743, 106.66939208231076	https://www.google.com/maps/place/C%C6%A1m+T%E1%BA%A5m+Ba+Ghi%E1%BB%81n/@10.7944422,106.666785,17z/data=!3m1!4b1!4m6!3m5!1s0x3175290067a6d055:0xb4552382d543deb2!8m2!3d10.7944422!4d106.6693599!16s%2Fg%2F11yc67gmbz?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	02838461073	ba_ghien.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkchBcxT3UoVhplXgUMTPVGwCdIA4BdD_N2eIGtnnT9GYAG5sf0ox086vM47Tr1GNZddNaNY1OdyzFwVovvS1tEiwSOp5f7_MjTEj7isOgA4lOYVGZfn_93LLI-wmzvj88pHYTCIQFkWs=w408-h306-k-no	20
4	Nhà Hàng Cơm Niêu Việt Nam 	Hương vị cơm niêu đập đậm đà bản sắc dân tộc.	Nhà hàng với phong cách xưa với các món ăn đậm chất miền nam cho ta như trở về với tuổi thơ khi còn nhỏ với hương khói bếp của mẹ thoang thoảng trong không gian ấm cúng.	4.4	608	40	Gia đình, Bạn bè, Hải sản, Cơm 	10:00	22:00	200000	234	Cộng Hoà 	phường 12	Tân Bình 	Hồ Chí Minh	10.802260468099288, 106.65008003780898	https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+C%C6%A1m+Ni%C3%AAu+Vi%E1%BB%87t+Nam/@10.8019967,106.6474666,17z/data=!3m1!4b1!4m6!3m5!1s0x31752948636c2fc5:0x358f08ee263f7a4f!8m2!3d10.8019967!4d106.6500415!16s%2Fg%2F11gc_zz0k9?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	0941855234	com_nieu_VN.png	https://lh3.googleusercontent.com/p/AF1QipMlRNuFndbN0IskNUtGBlSatJwUhedpMdRWfuI6=w408-h306-k-no	40
5	Cơm Tấm Phúc Lộc Thọ 	Chuỗi cơm tấm văn phòng phủ sóng rộng rãi và tiện lợi.	Quán ăn với hương vị thơm ngon sườn nướng đậm đà đầy đủ hương vị từ mặn cay ngọt kết hợp hài hoà với nhau tạo nên hương vị khó quên.	4.5	1600	80	Gia đình, Bạn bè, Hải sản, Cơm 	6:00	22:00	100000	144	Lý Thường Kiệt 	phường 14	10	Hồ Chí Minh	10.764294320949976, 106.66079980290874	https://www.google.com/maps/place/C%C6%A1m+T%E1%BA%A5m+Ph%C3%BAc+L%E1%BB%99c+Th%E1%BB%8D+-+L%C3%BD+Th%C6%B0%E1%BB%9Dng+Ki%E1%BB%87t/@10.7641046,106.6575168,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f2cd11d720b:0x7c2a7e600142224a!8m2!3d10.7641046!4d106.6600917!16s%2Fg%2F11jhsjz0y4?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	0908209569	com_tam_phuc_loc_tho.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwDzUvgcnZ4mhz9UNfezL6FkKh9YifeDjy9G1JbSDonIHKyCeBJPtj1k-J7NcEEwFKzhC7dJCN5VtYC1DS07R5tad5RYId_G79xbjFppOCVRGeCW6dcGKzvp2MkcUvKE-w-mtWd=w408-h306-k-no	20
6	Bánh Canh Cua Hoàng Lan	Thương hiệu bánh canh cua lâu đời đắt xắt ra miếng.	Hương vị tô bánh canh truyền thống với nước lèo đậm đà nóng ấm cho người ăn láy lại nguòn năng lượng cho cả một ngày dài mệt mỏi 	4.2	1214	30	Món nước, Bạn bè, Gia đình	10:00	21:00	70000	486/3	Vĩnh Viễn 	phường Diên Hồng 	10	Hồ Chí Minh	10.763596101551256, 106.66508094209559	https://www.google.com/maps/place/B%C3%A1nh+Canh+Cua+Ho%C3%A0ng+Lan/@10.7633853,106.6625275,17z/data=!3m1!4b1!4m6!3m5!1s0x31752ee5f00feb9f:0xb5daadabed9f2889!8m2!3d10.7633853!4d106.6651024!16s%2Fg%2F1vzf_rbp?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	02838532836	banh_canh_cua_hoang_lan.png	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYfbSgwq6d1tCaq42ibAJdzPWNNxRaG9LCRV9wXTJC74VfESytHEFoI3bsOC8ye5Prjta7Q6hlm9fWODe-W71n17AZlkDvvGKUoz0PYnwDp-lFDHyXziRErJb6EYsHA3O-4YIf2g=w408-h290-k-no	30
7	Quán Đô Bất Tử 	Địa điểm ăn uống bình dân với thực đơn đa dạng.	Quán ăn năng động phù hợp với những buổi tiệc  họp mặt gia đình, bạn bè cùng nhau tạo nên kỉ niệm 	4.2	162	60	Món nước, Bạn bè, Gia đình	10:00	1:30	300000	875	Hoàng Sa	phường 9 	3	Hồ Chí Minh	10.785061250550932, 106.6762359151085	Quán đô bất tử 	0937999973	quan_do_bat_tu.png	https://i.pinimg.com/1200x/ef/8a/9d/ef8a9df54500617f9a066338f456e868.jpg	60
8	GÓC HUẾ	Tinh hoa ẩm thực cố đô giữa lòng Sài Gòn.	Quán ăn với hương vị đặt trưng của vùng đất Huế tạo cho người con quê nhà và thực khách niềm đam mê với ẩm thực Huế khi mới vừa thử lầm đầu.	4.5	1020	50	Món nước, Bạn bè, Gia đình	6:30	21:30	200000	41	Kỳ Đông 	phường 9 	3	Hồ Chí Minh	10.780710008020748, 106.68110751141168	https://maps.app.goo.gl/HUSn7QyT37FjTFx18	0909182628	goc_hue.png	https://i.pinimg.com/736x/02/c8/b7/02c8b7d52e1e3c0917988536d1672c29.jpg	30
9	Bánh Mì Huynh Hoa 	Bánh mì ô môi đắt đỏ và nhiều thịt nhất thành phố.	Quán bánh mì lâu đời và nổi tiếng nhất nhì Sài Gòn với những tính đồ đam mê với món ăn truyền thống của Việt Nam.	4.1	6475	100	Bánh mì , Bạn bè, Gia đình	6:00	22:00	100000	26	Lê Thị Riêng	phường Phạm Ngũ lão 	1	Hồ Chí Minh	10.771701765865494, 106.69246116881682	https://maps.app.goo.gl/C5NNdcate5BKwo2C8	0338044646	banh_mi_quynh_hoa.png	https://i.pinimg.com/736x/c3/34/2b/c3342b724ad0e97464ca2caff2bb73bb.jpg	10
10	Hủ Tiếu Mực Ông Già 	Hương vị hủ tiếu mực tươi ngon nước dùng ngọt thanh.	Quán ăn chính gốc với món hủ tiếu mực nổi tiếng với ngồn hải sản tươi sống thơm ngon 	4.4	533	50	Món nước, Bạn bè, Gia đình	7:00	9:00	80000	62/3	Tôn Thất Thiệp 	phường Bến Nghé 	1	Hồ Chí Minh	10.773808268808711, 106.70238029340102	https://maps.app.goo.gl/mbMHUPuk8Cdrvt9c8	0909608614	hu_tieu_ong_gia.png	https://i.pinimg.com/736x/24/ee/cf/24eecf49a8d6bfc2a3bddc6f5159cd00.jpg	30
